CURRENT,PREVIOUS,WEIGHT,NAT,LAB,NZF,UF,ACT,GRN,MAO
PRO,PRO,0.17,5,7,3,1,1,6,8
LAB,LAB,0.44,7,10,6,0,0,10,9
NZF,LAB,0.43,5,5,5,3,3,4,6
NZF,NZF,0.57,1,10,10,0,0,8,0
GRN,LAB,0.54,4,6,0,0,0,9,7
LAB,LAB,0.77,2,10,0,0,0,7,9
MAO,LAB,0.43,5,6,6,4,3,4,7
No Vote,MAO,0.91,0,7,0,0,0,5,10
MAO,LAB,0.25,3,8,0,0,5,5,10
MAO,MAO,0.11,8,8,6,6,6,8,0
LAB,LAB,1.82,1,10,7,4,4,5,7
MAO,MAO,0.05,2,8,5,5,5,5,10
LAB,MAO,0.21,2,10,6,1,1,6,1
GRN,MAO,0.1,3,4,0,0,0,7,10
MAO,LAB,0.47,5,5,0,0,0,5,10
NZF,NZF,0.15,5,8,9,5,1,4,9
NAT,NAT,0.3,10,0,0,0,10,0,6
LAB,LAB,0.15,3,9,5,3,1,5,10
GRN,MAO,0.88,2,8,0,0,0,9,10
LAB,,0.08,5,9,9,1,1,5,5
MAO,MAO,0.14,5,5,5,6,0,0,10
MAO,GRN,0.06,0,6,6,0,0,6,10
LAB,LAB,0.09,0,10,4,4,0,6,8
NZF,LAB,0.07,6,4,10,0,0,0,10
LAB,GRN,3.02,0,10,5,2,2,9,9
MAO,LAB,0.53,1,5,6,4,0,5,10
NZF,LAB,0.77,0,8,10,0,0,2,5
LAB,LAB,0.44,5,8,0,0,0,3,10
LAB,LAB,0.59,4,9,5,7,4,4,8
GRN,GRN,0.23,1,7,2,0,0,9,9
LAB,LAB,0.37,0,9,3,1,1,8,7
MAO,LAB,0.73,0,8,5,0,0,5,10
NAT,LAB,0.98,5,5,0,0,0,5,10
MAO,MAO,0.06,6,4,3,3,4,9,9
LAB,LAB,0.37,0,9,2,0,0,3,0
LAB,LAB,0.08,7,7,5,5,6,5,7
LAB,LAB,0.09,0,10,0,0,0,0,0
NAT,NAT,0.21,10,6,0,2,7,7,10
LAB,LAB,0.4,0,7,0,0,0,3,8
MAO,LAB,0.27,5,7,5,2,1,2,8
LAB,LAB,0.4,0,0,0,0,0,0,0
MAO,NZF,0.18,8,0,0,0,0,0,0
NAT,NAT,0.42,9,0,7,6,6,0,6
NZF,LAB,0.2,3,7,7,5,5,6,6
MAO,MAO,0.25,10,5,5,5,5,5,10
GRN,DK,0.11,2,8,2,5,0,9,6
LAB,LAB,0.16,5,10,3,3,3,4,3
No Vote,DK,0.77,4,7,5,0,0,5,8
NZF,NZF,0.22,9,8,9,6,6,8,9
NZF,DK,0.35,6,7,8,6,6,8,8
LAB,DK,0.88,3,10,1,0,0,5,8
MAO,No Vote,0.14,1,8,7,1,1,7,9
LAB,LAB,0.16,0,10,7,6,5,7,3
GRN,LAB,0.98,2,5,4,1,1,8,5
NAT,LAB,0.09,8,3,0,0,0,3,10
LAB,LAB,0.19,0,10,5,0,0,10,5
LAB,LAB,0.11,4,8,5,5,3,6,7
LAB,LAB,0.21,4,7,5,0,1,10,10
NZF,NZF,0.11,5,4,6,2,2,4,7
LAB,LAB,0.13,3,10,5,2,0,5,9
NZF,DK,0.57,0,0,0,0,0,0,0
LAB,LAB,0.09,5,10,1,1,1,9,9
LAB,NAT,0.19,7,7,4,2,2,8,10
LAB,LAB,0.88,0,5,2,2,3,2,7
LAB,LAB,0.09,5,8,5,0,0,0,8
LAB,LAB,0.16,5,8,5,5,7,5,9
LAB,LAB,0.09,0,10,0,0,0,0,7
LAB,LAB,0.87,4,10,0,0,0,5,9
PRO,LAB,0.79,0,6,2,1,0,3,1
LAB,LAB,0.27,0,1,3,0,0,4,0
LAB,LAB,0.09,0,10,10,0,0,5,1
LAB,LAB,0.27,0,10,0,0,0,0,0
MAO,LAB,0.25,7,9,9,5,5,7,8
MAO,MAO,1.22,4,4,3,2,2,7,10
LAB,LAB,0.37,0,10,7,4,2,8,7
GRN,LAB,0.43,4,6,2,2,2,7,4
LAB,LAB,0.71,1,10,7,3,0,9,7
GRN,LAB,0.26,5,8,3,0,5,10,5
MAO,MAO,0.05,3,8,8,1,1,9,10
LAB,LAB,0.09,1,9,1,0,0,7,8
NAT,NAT,0.18,6,5,5,0,3,0,3
MAO,DK,0.27,0,0,4,0,0,0,10
MAO,DK,0.18,0,10,5,0,0,0,0
NAT,LAB,0.18,7,5,4,8,8,8,10
LAB,LAB,0.16,8,9,4,1,1,1,9
MAO,LAB,0.43,0,5,10,0,0,0,10
LAB,LAB,0.4,7,9,5,7,0,0,8
MAO,LAB,0.05,0,6,3,0,0,0,7
LAB,LAB,0.37,0,10,0,0,0,0,0
MAO,NAT,0.13,10,5,0,2,8,7,8
GRN,GRN,0.1,3,3,0,1,0,9,9
LAB,LAB,0.77,5,5,0,0,0,0,0
LAB,LAB,0.3,6,6,0,0,6,6,0
NAT,GRN,0.77,10,4,1,0,0,5,5
NAT,NAT,0.33,8,0,0,0,6,0,0
LAB,LAB,0.47,5,7,6,1,2,4,1
NAT,NAT,0.33,10,5,2,8,10,0,1
GRN,GRN,0.68,3,8,0,0,1,9,6
LAB,LAB,0.34,8,7,0,0,0,6,6
LAB,LAB,0.98,8,0,5,0,0,8,5
NZF,LAB,0.24,5,9,9,3,1,4,7
LAB,LAB,2.16,5,10,5,0,0,7,5
NAT,NAT,0.35,10,0,0,0,0,0,0
ACT,NAT,0.55,6,5,0,3,5,5,5
NAT,LAB,0.33,10,2,5,8,5,1,8
PRO,GRN,0.33,6,6,3,3,0,8,3
ACT,ACT,0.41,7,3,0,5,9,0,4
NZF,,0.24,5,5,6,0,0,6,0
NAT,LAB,0.67,8,5,5,5,5,5,3
NAT,NAT,0.86,10,0,0,1,5,3,0
NAT,NAT,0.42,8,1,0,0,2,1,0
NAT,ACT,2.91,8,2,5,7,7,2,5
NAT,LAB,3.27,7,3,1,0,0,7,3
NAT,DK,0.77,6,4,2,1,1,4,2
NAT,LAB,1.52,0,0,0,0,0,0,0
LAB,LAB,0.31,0,10,0,0,0,0,0
NAT,NAT,0.77,8,3,3,5,3,3,0
NAT,DK,0.35,5,9,0,0,0,0,0
UF,No Vote,0.75,0,0,0,10,0,0,0
NZF,No Vote,2.35,0,0,10,0,0,10,5
NAT,LAB,0.66,7,7,5,3,6,4,0
NAT,LAB,0.86,10,0,0,2,9,0,10
LAB,LAB,0.6,5,5,5,0,0,0,0
NAT,NAT,0.66,10,2,4,3,7,2,4
NZF,NAT,0.24,7,6,7,6,4,5,3
NAT,NAT,0.86,0,0,0,0,0,0,0
GRN,LAB,0.95,4,9,1,1,1,8,1
NAT,NAT,0.53,8,2,0,5,5,4,5
GRN,LAB,0.35,5,9,2,5,2,9,5
NAT,NAT,0.34,9,3,2,2,8,2,2
NAT,NAT,0.67,4,2,2,0,0,3,0
NAT,LAB,0.67,5,5,5,1,1,0,5
GRN,LAB,0.42,3,7,0,0,0,8,0
LAB,LAB,0.15,5,8,2,4,0,8,6
NAT,No Vote,0.38,6,4,1,2,3,5,5
LAB,LAB,0.34,0,10,7,3,0,8,2
NZF,LAB,0.18,7,10,7,1,0,9,6
ACT,NAT,0.55,6,4,2,5,6,4,5
NAT,NAT,0.26,9,2,5,5,3,5,0
NAT,NAT,0.26,8,2,1,5,7,2,5
NZF,GRN,0.84,8,8,7,0,0,5,8
NAT,NZF,0.17,6,2,5,5,6,1,5
LAB,No Vote,0.34,3,10,0,0,0,8,8
NAT,NAT,0.35,10,0,0,5,5,0,0
NZF,NZF,0.25,0,8,8,0,0,8,0
NAT,LAB,0.67,9,8,1,1,4,1,4
GRN,NZF,0.38,8,5,5,5,3,8,3
ACT,NAT,1.59,10,1,1,5,10,1,5
NAT,ACT,0.67,10,3,3,2,3,3,2
NAT,NAT,0.77,9,4,0,5,5,5,3
NAT,NAT,0.86,10,5,3,5,7,2,6
NAT,NAT,0.66,9,6,1,7,6,4,4
NAT,LAB,0.17,7,6,0,0,0,0,0
NAT,NAT,0.42,7,3,4,5,5,6,1
NAT,NAT,0.35,9,1,0,0,6,1,5
LAB,LAB,0.3,7,7,0,0,0,5,0
NAT,UF,0.66,8,3,2,7,7,3,3
NAT,No Vote,1.8,9,7,2,2,4,1,0
NAT,NAT,4.48,10,0,0,0,0,0,0
GRN,LAB,0.38,5,7,2,0,0,3,1
NAT,NAT,1.52,8,3,2,0,5,5,3
NAT,NAT,0.86,8,2,0,0,6,5,5
NAT,NAT,3.33,5,0,0,0,0,0,0
NAT,NAT,0.86,8,1,0,4,7,0,5
ACT,ACT,1.25,7,1,0,2,9,1,5
LAB,LAB,2.16,8,8,0,2,0,1,5
MAO,NAT,0.19,7,7,1,1,1,3,9
NAT,NAT,0.33,10,3,0,0,1,1,0
NAT,NAT,0.33,10,6,7,8,9,3,4
NAT,LAB,0.33,0,0,0,0,0,0,0
NAT,NAT,0.35,10,5,0,0,2,2,4
LAB,LAB,0.6,3,9,8,0,5,5,0
NAT,NAT,0.17,8,3,0,4,3,3,5
LAB,LAB,0.6,5,8,2,0,1,1,0
NAT,LAB,3.27,10,4,2,7,7,5,8
ACT,DK,0.82,7,5,5,3,3,6,3
GRN,NZF,3.2,5,9,5,5,0,8,8
GRN,LAB,0.46,3,8,1,1,1,9,8
NAT,NAT,0.66,6,4,3,5,4,3,6
NZF,LAB,0.38,5,5,0,3,6,9,5
NAT,LAB,0.86,8,4,1,3,4,2,6
NZF,DK,1.18,10,0,9,4,7,5,6
NAT,NZF,0.35,10,4,10,3,3,5,3
No Vote,GRN,1.21,7,5,1,1,1,5,5
NAT,NAT,0.34,8,5,1,7,6,7,0
NAT,NAT,1.48,7,2,0,3,6,5,0
ACT,NAT,0.37,7,1,2,4,7,0,2
NAT,NAT,0.35,8,5,7,7,3,5,0
LAB,LAB,0.77,1,10,5,0,0,6,5
NAT,NAT,0.86,9,8,0,1,1,0,0
NAT,DK,0.67,5,5,0,1,1,0,0
NAT,NZF,0.35,7,1,2,0,3,1,1
LAB,PRO,0.98,5,8,0,0,0,0,0
NAT,LAB,1.52,6,6,2,0,0,2,3
NAT,NAT,2.92,7,2,2,0,0,0,0
No Vote,DK,1.39,0,0,0,0,0,0,0
NAT,NAT,0.67,10,3,0,8,9,0,0
LAB,LAB,0.6,5,10,10,0,0,0,0
LAB,LAB,0.98,7,6,3,0,0,0,2
NZF,NZF,0.79,0,5,10,0,0,0,0
NAT,NAT,3.05,8,5,4,5,7,8,6
NAT,NAT,1.48,10,2,3,5,5,8,5
NAT,,0.35,5,3,3,2,2,2,0
NZF,NAT,0.24,10,0,10,0,0,0,0
NAT,LAB,0.77,8,8,3,1,2,5,8
NAT,UF,0.77,8,3,5,9,5,4,9
LAB,LAB,1.47,4,10,5,0,0,5,0
NAT,NAT,0.35,10,0,4,5,5,2,4
LAB,LAB,0.31,8,10,5,5,5,0,0
NAT,NAT,2.42,10,1,5,5,5,1,5
NAT,NAT,0.86,9,2,0,2,7,0,1
LAB,LAB,0.3,5,10,6,3,3,6,2
NZF,No Vote,2.35,5,7,10,3,0,0,0
NAT,ACT,0.86,8,3,2,4,8,2,6
No Vote,No Vote,0.47,6,5,2,3,3,3,1
LAB,LAB,1.48,2,10,1,2,0,4,0
NAT,NAT,1.76,7,4,2,6,6,5,1
NZF,No Vote,2.59,7,6,5,0,4,0,0
NAT,NAT,0.88,10,0,2,0,0,3,0
LAB,LAB,1.47,5,5,0,0,0,0,0
NAT,NAT,0.35,8,4,3,3,2,2,1
NAT,NAT,0.88,10,8,0,6,0,5,0
LAB,LAB,2.16,0,10,2,2,2,2,2
No Vote,No Vote,4.06,7,9,5,5,5,9,8
LAB,DK,0.34,5,5,0,0,0,5,0
NAT,NAT,1.52,8,4,7,5,7,1,0
GRN,No Vote,2.04,4,7,2,0,1,10,9
LAB,GRN,0.34,0,10,2,2,0,10,5
LAB,LAB,1.36,5,5,5,5,5,5,6
Bill and Ben,LAB,,0,9,5,5,5,7,10
NAT,ACT,0.88,10,0,3,5,10,0,4
NAT,NAT,0.34,8,2,0,6,7,4,2
LAB,LAB,3.22,10,10,0,0,0,0,0
NAT,NAT,0.35,10,6,0,7,0,0,5
No Vote,LAB,1.62,5,8,0,0,0,0,0
GRN,LAB,2.04,5,5,2,0,2,7,4
NAT,No Vote,1.48,10,0,0,4,9,1,8
ACT,NAT,0.72,8,2,0,5,7,7,0
UF,ACT,1.06,2,2,0,8,8,5,4
NAT,NAT,0.88,9,3,0,1,6,0,5
NAT,DK,0.38,8,4,3,6,8,2,1
LAB,LAB,1.84,5,8,3,3,5,5,8
NZF,NZF,0.48,0,7,8,0,0,0,0
No Vote,DK,0.7,0,0,0,0,0,0,0
NZF,NZF,0.63,3,6,10,3,2,5,6
LAB,LAB,5.28,0,10,5,5,5,5,5
No Vote,No Vote,5.28,0,0,0,0,0,0,0
NAT,NAT,1.52,7,2,0,0,0,10,0
No Vote,,5.33,0,0,0,0,0,0,0
LAB,LAB,1.66,3,9,0,1,0,3,1
ACT,DK,1.63,8,6,4,0,8,7,0
NAT,NAT,5.28,9,3,5,6,7,4,5
NAT,LAB,0.88,7,7,3,7,7,5,7
LAB,LAB,0.79,5,7,0,5,5,7,0
LAB,GRN,1.36,1,8,1,0,1,7,0
LAB,GRN,1.36,2,8,0,0,1,8,0
NAT,NAT,1.76,6,6,3,2,3,1,4
NAT,NAT,0.38,7,4,2,5,5,7,5
NAT,GRN,1.43,7,5,0,1,1,9,5
LAB,No Vote,0.6,6,4,4,2,2,2,3
LAB,LAB,0.6,1,9,4,6,3,7,8
NAT,LAB,1.52,8,6,7,3,3,5,1
No Vote,LAB,5.28,5,5,4,4,4,3,3
ACT,NAT,1.63,9,0,0,2,10,0,2
LAB,LAB,0.6,0,0,0,0,0,0,0
NAT,No Vote,1.48,7,5,5,5,5,5,5
GRN,GRN,1.67,3,7,5,5,5,10,5
LAB,LAB,1.36,5,8,8,3,3,5,5
NAT,No Vote,1.52,8,6,5,5,7,5,5
NAT,DK,1,8,2,1,5,5,5,0
NAT,No Vote,1,7,4,0,0,0,4,0
No Vote,DK,5.32,0,0,0,0,0,0,0
No Vote,No Vote,5.32,0,0,0,0,0,5,0
NAT,LAB,2.42,8,7,10,0,7,7,0
NAT,NAT,0.33,10,3,3,3,8,3,3
PRO,PRO,2.35,0,10,0,0,0,2,4
UF,UF,1.99,6,2,0,8,1,1,5
LAB,LAB,0.77,3,8,1,1,0,8,5
NAT,No Vote,1.17,8,6,2,0,0,4,0
ACT,ACT,0.71,7,1,0,0,10,0,5
NAT,NAT,0.26,5,6,4,4,4,4,4
NAT,NAT,0.33,8,5,4,4,5,0,5
NAT,NAT,0.51,10,0,3,8,6,4,3
NAT,LAB,0.86,7,3,0,1,2,2,2
NAT,DK,1.65,0,0,0,0,0,0,0
NAT,NAT,1.65,7,4,1,1,1,0,0
NAT,NAT,1.23,10,0,0,9,8,0,0
NAT,NAT,0.86,9,7,3,3,7,6,4
NAT,LAB,3.03,8,8,3,2,2,8,2
NAT,No Vote,1.17,6,5,1,6,2,5,6
NAT,NAT,0.53,10,2,2,3,6,1,5
NAT,NAT,1.8,8,3,0,0,5,0,0
MAO,DK,2.12,5,5,3,3,3,3,10
No Vote,No Vote,3.5,7,5,3,0,7,3,5
NAT,No Vote,0.66,5,5,10,5,5,5,5
LAB,No Vote,1.05,3,9,0,0,0,2,0
NAT,NZF,0.33,8,6,6,0,0,2,5
NAT,NAT,0.51,9,1,7,5,7,3,6
LAB,LAB,1.56,0,10,2,0,0,3,2
NAT,DK,0.66,7,5,2,3,4,4,6
Bill and Ben,DK,3.39,6,5,0,3,4,0,0
NAT,NAT,3.03,9,5,3,2,3,0,3
UF,UF,0.62,7,3,0,8,4,4,2
LAB,LAB,0.46,5,10,5,4,0,9,4
NAT,NAT,0.86,10,4,0,1,7,0,2
LAB,GRN,0.59,2,8,2,1,0,10,3
ACT,NAT,0.93,6,5,1,0,6,1,0
NAT,DK,0.33,10,8,1,4,7,6,3
NAT,NAT,1.1,10,0,5,5,10,0,3
LAB,NAT,0.77,5,7,1,0,0,3,1
NAT,LAB,0.86,8,0,0,3,3,6,0
NAT,NAT,0.53,10,0,6,6,10,0,6
Republic,UF,4.48,7,2,2,6,5,5,5
NAT,NAT,1.65,8,5,4,4,7,7,6
LAB,LAB,1.48,3,8,2,0,2,6,5
LAB,LAB,0.3,0,9,6,0,0,8,0
NAT,NAT,1.1,4,4,0,0,0,0,0
LAB,NAT,0.77,10,0,0,5,7,0,6
NAT,NAT,0.38,10,2,0,5,9,0,2
NAT,ACT,0.26,10,4,0,5,8,5,5
GRN,GRN,1.2,0,10,0,0,0,10,5
LAB,LAB,0.77,3,4,2,4,3,4,1
PRO,LAB,0.43,6,4,1,5,4,0,0
NAT,LAB,1.1,4,1,2,2,1,0,0
NAT,NAT,0.33,7,2,4,4,6,1,4
NAT,NZF,0.53,10,4,1,1,3,0,7
ACT,NAT,0.35,9,2,2,5,7,0,5
NAT,LAB,1.8,8,8,8,5,1,6,6
NAT,NAT,1.8,8,2,5,5,5,0,2
LAB,LAB,0.77,5,9,2,2,2,2,2
LAB,LAB,0.77,0,8,0,0,0,3,0
LAB,LAB,1.48,2,10,2,5,6,10,5
NAT,NAT,1.65,10,2,2,0,10,1,3
GRN,LAB,1.81,1,8,4,4,0,10,7
LAB,LAB,0.77,0,7,5,0,0,0,5
NAT,NAT,0.53,7,6,2,2,2,2,0
NAT,LAB,1.8,7,6,5,4,6,4,3
LAB,ACT,1.1,1,6,1,1,0,1,1
NAT,NAT,1.8,10,0,0,7,10,0,5
NAT,No Vote,2.65,7,6,2,2,8,7,5
NAT,LAB,0.86,5,5,3,3,3,0,0
NAT,GRN,0.66,8,6,2,0,6,8,0
NAT,NZF,0.33,6,0,4,4,3,0,0
LAB,LAB,0.77,3,8,7,0,5,5,0
LAB,NZF,0.3,5,8,0,2,1,4,0
LAB,LAB,1.48,0,10,6,5,10,10,0
NAT,NAT,0.86,10,0,0,5,8,0,5
NAT,NAT,2.91,10,0,0,2,5,0,0
LAB,LAB,0.98,0,8,10,5,5,0,0
NAT,NZF,0.33,6,2,6,0,5,0,5
NAT,NAT,0.33,8,0,0,0,6,0,3
LAB,NAT,0.34,8,7,0,2,5,5,4
NZF,LAB,5.32,5,6,6,0,0,0,0
NAT,NAT,1.8,9,6,4,4,6,0,5
LAB,LAB,0.3,3,9,7,2,0,10,2
NAT,NAT,0.86,9,1,1,5,8,3,7
NAT,NAT,0.33,10,0,1,5,5,1,5
No Vote,NAT,2.16,7,4,0,1,4,5,2
LAB,LAB,0.3,7,10,10,5,2,2,6
LAB,LAB,4.48,1,9,5,4,4,8,4
NAT,NAT,1.65,8,0,0,5,8,0,0
No Vote,No Vote,1.56,9,2,0,0,8,0,0
NAT,UF,0.33,7,2,0,3,5,2,4
NAT,NAT,0.33,10,0,0,4,4,0,4
NAT,NAT,0.33,10,2,4,4,4,0,4
ACT,ACT,0.93,10,4,4,5,10,1,5
LAB,LAB,0.77,4,9,0,1,4,5,5
NAT,NAT,0.33,8,3,1,0,0,5,4
LAB,LAB,4.48,1,10,3,2,0,5,3
NAT,No Vote,1.17,9,10,0,0,0,5,3
LAB,LAB,0.3,1,10,0,0,0,0,0
PRO,LAB,0.69,6,8,0,1,1,5,4
NAT,LAB,1.1,3,0,0,0,0,0,0
LAB,LAB,0.98,5,5,5,1,1,3,1
NAT,LAB,0.33,8,4,3,1,5,1,6
NAT,NAT,0.33,8,5,6,0,4,1,4
NAT,NAT,0.33,10,0,0,3,5,0,0
MAO,LAB,1.8,1,7,3,2,3,7,7
LAB,No Vote,0.48,5,7,7,3,0,5,4
LAB,LAB,1.61,7,7,0,1,1,8,7
NAT,NAT,0.33,6,2,2,2,3,0,3
No Vote,UF,0.65,4,6,8,8,8,7,0
NAT,NAT,0.38,10,5,0,8,8,10,0
No Vote,No Vote,2.16,7,5,4,4,7,8,0
NAT,NAT,0.86,9,5,6,6,7,6,8
LAB,NAT,0.46,8,10,1,4,10,10,0
Kiwi,UF,1.01,8,3,9,8,3,2,5
Kiwi,NZF,1.01,7,4,5,6,3,3,5
LAB,LAB,0.48,2,9,1,3,1,2,0
LAB,LAB,0.77,2,10,5,1,0,8,5
NZF,LAB,0.24,7,8,7,2,0,0,0
NAT,NAT,0.33,9,6,0,0,0,5,6
NAT,NAT,0.66,7,2,1,5,5,0,7
NAT,NAT,1.56,9,1,0,1,5,1,5
NAT,NAT,0.86,10,5,2,3,4,2,3
LAB,LAB,0.48,0,10,5,0,0,1,5
NAT,NAT,1.1,8,2,1,0,4,0,5
No Vote,NAT,1.56,8,1,0,7,3,0,7
LAB,LAB,0.48,5,5,5,0,0,5,0
LAB,LAB,0.48,7,9,6,4,3,5,5
NAT,LAB,1.65,7,4,1,7,7,7,7
Family,DK,3.1,5,3,2,6,4,1,5
NZF,LAB,0.79,8,5,10,0,5,0,0
NZF,LAB,2.09,0,5,5,0,0,5,0
GRN,GRN,0.92,4,6,2,2,0,9,4
NAT,NAT,1.17,10,2,6,6,7,1,1
NAT,NAT,1.8,9,3,2,2,5,1,1
LAB,LAB,0.77,1,9,0,1,0,10,5
LAB,LAB,0.37,6,8,5,2,0,2,3
NZF,NZF,0.38,5,9,9,5,0,2,5
NAT,NAT,0.53,8,3,5,5,7,3,0
NZF,NZF,0.38,0,0,0,0,0,0,0
GRN,GRN,0.36,1,8,0,0,0,8,0
NAT,NAT,0.33,9,2,4,4,5,4,5
GRN,LAB,0.46,4,9,0,5,0,9,5
NAT,NAT,0.33,10,0,2,2,10,3,8
LAB,LAB,0.37,4,7,1,3,1,6,2
NAT,NZF,0.86,9,4,8,1,0,0,0
NAT,NAT,0.42,9,6,3,3,6,5,3
UF,UF,0.7,6,5,3,8,3,4,4
NZF,NZF,0.24,4,4,4,0,0,0,0
LAB,LAB,1.61,0,10,5,0,0,8,8
NAT,NAT,0.33,9,5,3,5,8,3,5
LAB,LAB,0.3,2,8,0,0,0,5,0
UF,UF,1.41,5,5,3,8,7,3,5
LAB,LAB,0.77,0,10,4,0,0,3,0
NAT,No Vote,2.65,7,5,1,0,5,7,3
GRN,GRN,2.91,5,7,1,0,2,10,6
ACT,No Vote,0.45,7,0,4,0,8,0,0
NAT,NAT,0.53,8,5,2,3,4,6,1
NAT,NAT,0.86,8,5,6,0,0,5,0
NAT,LAB,3.05,8,4,3,6,2,6,5
NAT,NAT,0.53,10,8,0,0,0,0,0
LAB,LAB,0.46,7,8,2,7,5,8,4
ACT,NZF,1.77,7,4,5,3,8,1,5
ACT,ACT,0.93,7,3,3,4,8,0,6
NAT,NAT,1.17,8,2,6,3,0,2,7
NAT,NAT,0.86,10,4,0,6,8,8,4
NAT,NAT,0.42,7,4,2,5,5,2,3
NAT,NAT,0.86,9,3,0,1,2,2,0
Family,Destiny,1.62,3,0,0,0,0,0,0
LAB,LAB,0.77,2,10,8,2,0,8,6
PRO,LAB,2.87,3,6,1,1,1,2,0
ACT,NAT,0.41,8,4,0,5,6,2,5
NAT,NAT,0.33,10,0,0,0,5,0,5
NZF,LAB,0.24,3,7,7,0,0,5,3
NAT,NAT,0.47,10,0,0,8,8,5,5
NAT,DK,0.86,10,1,1,1,1,1,1
LAB,LAB,0.98,5,5,7,5,5,7,1
NAT,NAT,0.86,8,3,3,6,6,3,3
NAT,NAT,0.33,10,0,2,5,6,0,7
LAB,LAB,0.77,5,10,5,5,3,2,5
NAT,LAB,1.65,7,6,2,0,3,5,3
NAT,DK,0.51,8,3,1,4,4,1,7
LAB,LAB,1.05,4,7,5,3,0,3,4
NAT,No Vote,0.38,6,5,0,5,5,6,5
LAB,LAB,0.77,5,6,0,0,8,7,1
NAT,NAT,0.33,10,5,0,7,5,0,8
NAT,NAT,1.8,8,0,6,2,8,0,4
LAB,LAB,1.05,5,7,1,0,0,5,7
LAB,GRN,0.23,7,9,0,0,0,0,10
LAB,LAB,1.56,8,8,5,7,5,8,5
LAB,DK,4.48,1,10,0,2,3,10,0
NAT,NZF,0.86,7,2,6,4,4,1,0
NAT,NAT,0.33,8,4,1,6,6,4,4
No Vote,No Vote,8.18,5,5,5,5,5,5,0
NAT,NAT,0.33,10,5,0,5,0,0,0
No Vote,No Vote,0.7,7,7,5,5,5,5,5
NAT,NAT,0.33,10,3,4,0,0,0,0
NAT,NAT,0.33,10,5,8,0,0,5,0
LAB,LAB,0.77,5,8,5,2,0,6,5
No Vote,MAO,3.33,2,7,4,2,2,8,9
NAT,GRN,0.86,7,3,0,5,0,8,0
GRN,Other,0.56,5,6,4,2,7,6,7
NAT,,1.65,7,4,0,0,5,2,0
GRN,NAT,0.56,7,6,5,2,4,8,5
ACT,NAT,0.55,7,7,1,0,8,5,3
GRN,No Vote,1.28,5,3,5,0,3,8,5
NAT,LAB,0.33,9,7,2,3,1,5,5
NAT,NAT,0.86,10,2,1,9,9,5,2
NZF,No Vote,2.57,5,8,7,4,4,3,7
LAB,DK,1.61,4,7,5,5,0,3,0
LAB,LAB,0.77,5,7,0,3,0,8,0
NAT,NAT,1.65,10,2,2,3,3,2,1
LAB,LAB,0.46,1,10,0,0,0,3,0
NAT,NAT,0.53,8,3,0,0,8,5,5
LAB,LAB,0.3,9,10,5,1,0,2,0
NAT,NAT,0.33,10,0,0,4,4,0,0
NAT,NAT,0.33,10,0,0,0,0,0,0
NAT,NAT,0.53,9,0,4,5,6,0,3
Kiwi,DK,3.39,4,1,1,4,1,0,0
ACT,ACT,0.93,8,3,0,9,9,0,9
NAT,NAT,0.53,7,5,5,0,4,1,0
LAB,LAB,0.3,5,9,6,0,9,6,5
