CURRENT,PREVIOUS,WEIGHT,NAT,LAB,NZF,UF,ACT,GRN,MAO
LAB,LAB,0.3,0,10,0,0,0,0,0
NAT,LAB,1.56,4,9,0,3,3,3,0
NAT,NAT,1.1,10,6,1,4,5,4,0
GRN,GRN,0.28,8,10,5,2,0,10,5
LAB,LAB,3.19,5,10,5,0,0,0,5
UF,UF,0.59,7,7,0,0,0,3,5
NAT,LAB,0.86,6,5,1,1,2,5,5
NAT,LAB,3.57,8,4,4,7,7,3,2
GRN,GRN,0.42,4,9,5,4,2,9,9
NAT,LAB,1.8,5,5,0,5,5,5,5
LAB,LAB,1.61,5,10,5,7,3,0,5
NAT,LAB,3.33,10,2,10,3,3,10,0
NAT,ACT,0.66,0,0,0,0,0,0,0
NAT,NAT,0.51,8,2,0,2,6,2,4
LAB,LAB,0.77,7,10,0,0,0,2,4
NAT,NAT,1.65,10,0,0,0,8,5,0
NAT,NAT,0.53,10,1,5,9,9,0,1
NAT,NAT,0.7,9,6,7,3,8,6,1
LAB,LAB,0.3,0,10,0,0,3,4,2
LAB,LAB,0.59,5,7,3,4,2,5,5
NAT,NAT,0.33,10,0,0,5,5,0,5
NAT,NAT,0.26,10,4,4,4,5,5,3
NAT,NAT,1.8,10,6,0,2,4,1,0
NAT,LAB,1.8,8,4,2,7,7,4,1
ACT,NAT,0.93,10,3,3,5,8,0,5
LAB,No Vote,1.61,5,10,0,0,0,0,0
NAT,LAB,1.56,8,9,4,7,5,5,3
LAB,LAB,0.3,6,4,7,2,3,5,2
LAB,LAB,0.3,5,10,3,8,3,8,3
LAB,DK,1.48,5,8,0,0,0,0,0
NAT,DK,1.8,10,3,1,3,9,6,2
NAT,NAT,0.86,9,3,0,7,6,5,5
NAT,NAT,1.1,10,0,0,1,2,0,1
NAT,NAT,0.86,10,3,0,6,8,5,3
GRN,No Vote,0.42,3,7,1,0,1,6,5
NAT,NAT,1.17,9,4,1,3,3,1,1
LAB,LAB,0.77,4,10,7,4,4,5,4
ACT,LAB,0.92,10,3,0,4,8,0,0
NAT,NZF,0.33,8,4,4,5,4,0,2
NAT,Libertarianz,0.33,0,0,1,2,9,0,4
NZF,DK,0.62,5,10,10,0,0,10,10
NAT,NAT,0.86,10,4,3,5,8,1,5
LAB,LAB,4.16,5,1,7,9,9,5,5
GRN,GRN,0.95,5,8,4,3,4,8,5
NAT,NAT,0.86,3,0,0,0,1,1,1
NAT,NAT,0.53,8,4,2,0,6,0,7
No Vote,No Vote,1.56,5,5,2,2,2,0,2
LAB,LAB,1.48,3,8,1,3,0,7,5
NAT,NAT,0.53,7,2,2,0,6,0,5
LAB,LAB,0.98,1,10,6,3,0,9,3
MAO,LAB,0.39,5,0,0,7,5,7,10
ACT,ACT,0.93,6,4,1,1,7,6,6
ACT,NAT,0.71,9,0,6,6,8,1,5
No Vote,LAB,0.36,5,8,2,0,1,8,0
NAT,UF,1.65,8,3,6,6,7,0,5
NAT,LAB,1.65,8,8,3,0,4,4,0
NAT,NAT,0.33,9,6,1,5,3,1,3
LAB,LAB,4.48,5,6,2,0,2,2,2
NAT,No Vote,1.17,8,6,6,6,6,6,6
NAT,LAB,0.86,9,9,7,2,6,0,0
LAB,No Vote,0.23,5,5,0,0,0,0,0
LAB,NZF,0.3,2,10,7,1,0,3,0
NAT,NAT,0.38,10,5,0,0,3,1,1
No Vote,No Vote,5.32,2,6,6,0,0,7,5
NAT,PRO,4.48,7,2,0,3,7,3,0
NAT,NAT,3.03,9,2,4,3,5,0,0
LAB,LAB,0.48,4,0,4,0,0,0,0
NZF,NZF,,0,10,5,0,0,10,0
NAT,UF,0.38,6,1,6,8,5,3,5
NAT,LAB,0.86,8,3,5,5,6,5,1
LAB,GRN,0.77,1,9,5,0,2,9,0
LAB,LAB,0.34,8,9,3,3,7,7,5
NAT,NAT,0.86,7,4,4,6,7,2,4
NAT,NAT,0.33,8,3,1,0,7,7,5
GRN,LAB,0.36,2,8,5,5,0,6,6
LAB,LAB,1.61,0,7,0,0,0,7,0
NAT,NAT,0.66,9,0,0,7,8,7,7
NAT,NAT,1.8,8,4,0,2,3,3,4
NAT,DK,0.53,6,4,2,5,5,4,5
LAB,LAB,0.77,10,10,10,0,0,0,5
NAT,NAT,0.33,10,0,0,2,3,1,5
NAT,NAT,0.86,10,0,3,4,10,0,10
NAT,Christian Hetitage,0.33,10,0,0,0,0,0,0
NAT,NAT,0.26,8,3,5,5,6,3,0
LAB,LAB,1.61,8,10,0,0,5,5,5
NAT,ACT,0.86,7,2,0,3,5,4,5
NAT,No Vote,1.65,8,2,3,3,6,5,0
LAB,LAB,3.33,0,10,0,0,0,10,0
NZ Pacific,LAB,3.39,0,0,0,0,0,0,10
GRN,LAB,0.28,1,8,5,0,0,9,5
LAB,No Vote,0.98,7,10,5,5,5,5,5
GRN,GRN,0.59,5,8,5,4,2,9,9
GRN,LAB,1.98,0,0,0,0,0,0,0
No Vote,No Vote,1.56,0,0,0,0,0,0,0
NZF,LAB,0.79,6,6,6,0,0,0,0
NAT,,1.1,8,4,1,1,1,1,4
LAB,LAB,0.48,4,7,2,3,2,6,5
NZF,NZF,0.24,1,8,8,1,0,8,8
NAT,No Vote,1.8,8,5,2,5,8,0,5
LAB,LAB,0.69,1,10,3,2,1,8,0
NAT,LAB,0.77,8,3,5,5,8,8,5
LAB,LAB,1.32,0,5,0,0,0,0,0
NAT,NAT,0.62,8,6,2,6,2,0,1
LAB,LAB,0.6,5,10,4,3,3,3,0
NZF,LAB,0.48,7,4,10,9,8,6,0
Bill and Ben,LAB,,0,0,5,0,0,5,3
No Vote,No Vote,1.39,3,7,0,0,0,0,0
NAT,NZF,1.52,7,0,7,7,0,0,5
LAB,LAB,0.79,3,10,6,3,1,9,3
LAB,LAB,1.36,5,6,3,0,5,6,0
NAT,NAT,1.52,8,1,0,3,7,7,0
LAB,LAB,0.79,3,8,3,3,4,2,2
NZF,No Vote,1.1,6,3,9,1,0,4,3
LAB,LAB,0.69,0,7,0,0,0,0,0
NAT,NAT,1.48,10,3,0,5,9,0,0
NAT,NAT,0.34,9,3,0,2,7,2,1
NAT,NAT,1.48,7,0,0,0,7,0,5
Family,No Vote,,6,5,0,0,0,3,3
LAB,LAB,0.31,2,9,0,0,0,5,0
NAT,NAT,0.35,8,3,1,2,4,4,5
NAT,NAT,3.27,10,8,0,3,5,10,0
NAT,LAB,0.32,9,5,8,0,7,0,0
NAT,UF,0.77,7,3,3,5,3,1,7
NAT,NAT,0.67,9,6,2,2,3,0,3
NAT,NAT,1.52,9,1,1,4,4,1,4
NAT,NAT,0.35,8,4,5,0,5,2,0
NAT,NAT,0.35,8,6,0,0,0,5,0
NAT,NAT,0.62,9,1,1,3,3,0,2
NAT,NAT,0.67,8,2,0,1,0,2,1
NAT,LAB,1.62,10,5,0,2,7,5,6
LAB,LAB,0.89,1,9,1,1,6,10,1
NAT,NAT,0.34,9,2,0,2,2,3,1
NAT,,1.39,8,0,2,3,3,2,5
NAT,LAB,0.77,10,8,10,3,3,10,1
Bill and Ben,NAT,2.87,7,7,3,6,7,7,4
NAT,NAT,0.35,8,5,5,5,5,3,0
LAB,LAB,0.6,5,4,8,2,3,10,4
GRN,GRN,0.96,5,2,0,0,0,10,0
NAT,NAT,0.77,8,5,0,2,3,5,6
ACT,DK,1.63,6,1,1,5,8,5,1
NZF,No Vote,1.1,5,7,8,0,5,5,0
GRN,LAB,2.04,5,7,3,3,0,7,0
NAT,No Vote,0.34,8,5,0,0,6,3,0
LAB,LAB,0.31,5,9,2,2,0,3,5
NAT,NAT,0.35,10,2,0,5,5,0,0
GRN,LAB,0.38,5,10,1,1,0,5,0
NAT,NAT,0.32,8,5,0,2,8,0,3
NAT,NAT,2.81,8,6,6,0,0,0,0
NAT,NAT,0.77,7,0,5,0,7,0,0
NAT,NAT,0.34,9,4,5,6,6,8,6
NAT,LAB,0.35,7,4,3,3,0,6,0
No Vote,NZF,0.49,6,4,7,5,5,2,0
Family,Christian Hetitage,0.64,7,2,0,1,4,0,4
NAT,NAT,0.67,10,1,5,5,5,0,5
NZF,LAB,0.25,0,10,10,0,0,10,0
LAB,DK,0.69,5,8,6,3,6,6,6
NAT,NAT,0.38,10,1,0,4,7,4,3
LAB,LAB,1.36,5,5,0,0,0,0,0
GRN,NAT,0.38,10,9,4,0,0,6,4
NAT,NAT,0.35,4,1,3,0,0,0,1
NAT,NAT,0.35,8,2,5,5,5,1,5
No Vote,LAB,0.49,7,4,4,0,0,0,0
NAT,LAB,0.49,5,5,7,0,0,6,5
LAB,LAB,0.6,0,9,3,3,2,8,3
NZF,NZF,0.48,3,3,4,2,3,0,1
LAB,LAB,1.47,0,10,0,0,0,0,0
LAB,LAB,0.6,0,10,5,0,0,5,5
LAB,LAB,3.22,5,10,0,0,0,0,0
No Vote,No Vote,0.49,8,0,0,0,0,0,0
ACT,ACT,0.82,5,5,2,3,10,5,5
LAB,LAB,1.28,4,9,0,0,1,8,6
LAB,LAB,0.31,2,8,0,0,0,0,0
No Vote,,0.49,0,0,0,0,0,0,0
NAT,GRN,0.88,7,5,0,4,4,6,0
LAB,LAB,0.31,2,9,7,4,5,8,5
NAT,No Vote,1.43,7,6,0,0,2,8,2
NAT,UF,0.88,9,3,0,10,0,1,1
LAB,LAB,0.29,0,10,0,0,0,0,0
NAT,NAT,0.67,10,3,3,0,3,6,0
LAB,LAB,0.3,7,10,2,5,5,6,8
NAT,NAT,0.88,7,0,0,2,2,0,0
LAB,DK,1.47,0,0,0,0,0,0,0
NAT,NAT,0.62,10,0,5,0,3,0,0
NAT,NAT,0.34,10,0,0,2,4,0,2
NAT,NAT,0.67,7,0,0,0,0,0,0
LAB,LAB,2.92,3,7,5,4,0,8,6
GRN,GRN,0.37,2,8,1,1,0,10,8
LAB,LAB,1.47,5,5,2,1,2,2,2
NAT,NAT,0.77,7,3,4,5,5,5,5
NAT,NAT,1.48,8,1,0,0,10,0,6
LAB,NAT,0.3,8,7,0,0,0,4,0
NAT,NAT,0.62,10,5,0,5,8,5,0
LAB,LAB,0.6,5,8,0,5,0,5,5
NAT,NAT,1.64,10,0,0,0,0,0,0
No Vote,No Vote,2.68,0,0,0,0,0,0,0
NAT,NAT,0.35,10,4,2,0,3,5,4
UF,NAT,1.06,7,1,0,8,0,5,0
ACT,NAT,0.72,10,0,8,5,10,0,6
NAT,UF,0.77,8,2,4,4,4,2,5
NAT,NAT,0.35,8,0,0,4,0,0,0
NAT,LAB,2.42,8,7,4,0,4,4,0
NAT,LAB,0.35,8,3,1,1,4,0,0
No Vote,No Vote,0.54,5,5,2,2,2,1,3
NAT,NAT,0.67,10,3,0,4,4,0,0
MAO,,0.21,8,3,0,0,6,3,7
LAB,GRN,0.29,3,9,5,4,1,9,7
NAT,UF,0.77,8,2,2,9,6,3,5
LAB,GRN,1.57,2,10,2,1,1,9,5
NAT,NAT,0.67,7,5,1,0,6,1,0
NAT,NAT,0.35,10,6,7,5,5,6,3
LAB,LAB,0.55,8,8,3,5,6,7,7
LAB,LAB,0.29,2,8,2,2,2,5,8
LAB,LAB,0.31,8,10,7,0,0,0,0
LAB,LAB,1.47,5,10,2,2,0,5,2
NAT,LAB,1.52,5,6,0,4,0,0,3
NAT,NAT,0.34,9,3,3,5,5,6,5
LAB,LAB,0.31,2,9,7,5,5,1,0
NAT,NAT,0.67,10,6,4,5,5,3,1
LAB,LAB,0.29,3,10,2,5,0,7,3
ACT,LAB,0.72,8,5,2,2,8,1,5
NAT,NAT,0.67,8,0,1,3,9,3,0
GRN,LAB,0.35,4,8,0,0,0,10,5
NZF,NAT,1.18,9,0,9,0,0,0,0
LAB,NAT,0.79,8,7,2,0,0,0,3
LAB,LAB,0.69,5,5,5,5,5,5,5
LAB,MAO,0.6,7,10,6,2,5,7,8
NAT,NAT,0.88,8,3,0,5,4,6,0
GRN,LAB,0.42,5,7,0,0,4,7,6
NAT,NAT,0.77,8,4,0,0,9,8,8
GRN,GRN,0.73,5,5,1,0,0,8,0
NAT,NAT,1.52,10,6,5,0,6,5,0
NAT,LAB,0.77,7,6,0,0,0,0,0
LAB,LAB,0.89,4,7,0,5,3,9,8
LAB,LAB,0.6,6,10,1,1,3,6,3
NAT,NAT,1.64,8,2,2,6,5,0,2
LAB,LAB,0.55,4,9,8,5,1,2,5
NAT,No Vote,3.6,10,5,0,0,9,0,0
NAT,,2.81,8,5,2,6,8,5,2
LAB,LAB,0.6,4,7,0,0,0,8,5
NZF,NZF,1.1,8,1,10,10,6,1,6
NAT,NAT,0.35,0,3,2,5,5,0,7
NAT,NAT,1,7,3,2,5,5,1,2
NAT,NAT,0.67,9,3,0,3,8,8,3
LAB,LAB,0.34,8,8,4,4,4,7,4
NAT,NAT,1.52,8,3,1,0,1,0,0
LAB,No Vote,0.34,5,7,1,0,0,6,0
NAT,LAB,1.52,8,5,0,0,0,7,0
NAT,NAT,0.35,8,6,0,5,5,2,3
NAT,NAT,0.29,8,5,5,2,3,0,5
NZF,NZF,0.25,9,8,10,0,0,0,8
NAT,NAT,0.29,8,5,4,0,0,5,0
NAT,LAB,1.64,6,0,0,0,5,5,0
No Vote,DK,5,7,7,4,4,4,8,2
No Vote,Destiny,1.84,5,3,5,0,0,1,0
NZF,NAT,0.25,9,1,0,3,3,0,0
LAB,LAB,1.47,0,10,0,0,0,0,0
LAB,LAB,0.31,8,10,6,0,0,9,0
GRN,GRN,0.84,5,5,0,0,2,10,4
LAB,LAB,0.31,0,10,5,0,0,5,0
NZF,DK,0.25,0,0,0,0,0,0,0
NAT,NAT,0.34,8,5,0,8,1,8,10
NAT,NAT,0.35,0,0,0,0,0,0,0
NAT,NAT,0.77,9,5,1,5,5,5,5
LAB,LAB,2.16,9,10,4,0,0,10,1
NZF,LAB,0.25,7,9,10,7,1,10,7
LAB,LAB,0.31,5,10,10,0,0,4,1
NAT,NAT,0.35,10,1,5,5,5,0,5
Family,UF,,5,5,3,7,4,4,3
LAB,LAB,0.34,5,10,5,5,5,5,5
NAT,NAT,1,9,1,0,5,5,4,5
NAT,LAB,2.42,10,5,0,0,5,0,0
LAB,LAB,0.6,6,8,4,2,4,6,2
ACT,No Vote,0.41,5,4,0,2,5,4,5
LAB,LAB,0.31,0,0,0,0,0,0,0
NZF,NZF,0.25,2,3,1,0,0,0,0
LAB,LAB,0.6,5,8,5,5,5,6,6
NAT,NAT,0.35,10,4,3,2,2,3,3
LAB,LAB,0.89,8,7,7,5,5,4,4
LAB,LAB,0.31,4,7,0,0,2,9,0
NAT,NAT,1.64,10,2,0,6,6,1,4
NAT,NAT,0.88,6,4,1,2,5,0,1
NAT,No Vote,3.27,10,1,7,3,7,5,0
LAB,LAB,0.26,6,10,0,0,0,4,1
NAT,NAT,2.42,9,1,5,2,7,0,0
LAB,LAB,2.92,0,0,0,0,0,0,0
NAT,NZF,0.35,7,7,4,4,4,4,0
NAT,NAT,0.35,8,4,4,6,6,1,1
No Vote,No Vote,0.49,0,0,0,0,0,0,0
LAB,LAB,1.47,5,8,0,2,0,3,4
LAB,LAB,0.31,0,0,10,0,0,10,0
NAT,NAT,1.52,5,3,0,0,0,0,0
NAT,NAT,0.35,10,0,0,0,0,0,0
LAB,LAB,0.6,0,10,0,0,0,8,8
LAB,LAB,0.3,5,8,2,0,0,5,0
NAT,NAT,0.88,10,0,0,0,7,0,0
No Vote,No Vote,2.33,0,6,0,0,0,0,0
LAB,LAB,0.89,0,9,0,0,0,9,2
NAT,NAT,0.77,10,2,2,5,10,3,6
NAT,LAB,0.35,6,6,3,0,0,0,0
NAT,DK,0.77,6,5,5,5,5,0,0
NAT,NAT,0.32,5,5,0,0,0,0,0
NAT,No Vote,,10,0,0,0,7,1,0
LAB,NAT,0.79,9,7,4,0,7,7,4
NAT,NAT,1.64,8,1,0,1,3,1,1
NAT,NAT,0.35,10,0,0,3,3,0,0
NAT,DK,0.77,9,5,5,5,8,5,2
No Vote,No Vote,1.21,8,1,10,4,10,1,9
No Vote,No Vote,2.68,5,5,0,0,0,0,0
LAB,LAB,0.6,0,0,0,0,0,0,0
NAT,NAT,0.35,10,0,0,0,0,0,0
LAB,LAB,0.6,10,10,0,0,1,5,0
No Vote,NAT,5.32,10,0,0,0,0,0,10
ACT,Destiny,1.07,5,5,1,10,8,2,0
NAT,NAT,0.88,8,0,0,5,7,5,2
NAT,LAB,0.38,10,9,0,2,8,4,1
LAB,LAB,1.36,5,9,0,0,0,10,0
NZF,NZF,2.35,0,10,10,0,2,5,1
LAB,LAB,0.6,1,7,0,0,5,2,0
NAT,NAT,0.77,8,1,1,2,8,1,1
GRN,GRN,0.96,4,9,5,5,5,10,5
NAT,No Vote,0.88,8,2,2,0,6,4,5
LAB,LAB,2.16,5,10,5,5,5,5,5
LAB,LAB,0.89,5,5,0,0,0,0,0
NAT,NAT,1.52,10,5,5,0,7,7,0
ACT,NAT,0.72,9,1,1,6,8,4,1
NAT,NAT,0.35,10,0,0,0,0,0,0
LAB,LAB,0.79,5,8,0,0,0,6,0
LAB,LAB,0.31,5,9,4,1,0,1,1
LAB,LAB,0.31,6,10,9,0,0,9,6
NAT,LAB,2.33,5,0,0,0,0,0,0
NAT,NAT,0.35,10,0,0,7,8,4,4
NZF,NAT,0.25,0,0,0,0,0,0,0
NAT,NAT,1,8,2,0,8,5,10,0
LAB,LAB,3.22,0,4,0,0,0,0,4
LAB,LAB,2.92,9,9,3,3,0,5,8
LAB,LAB,0.29,0,10,0,0,0,9,6
NAT,NZF,2.42,8,2,0,0,0,0,2
NAT,LAB,0.35,5,7,2,6,6,0,6
LAB,LAB,0.6,3,10,5,5,3,8,3
NAT,NAT,0.62,10,6,2,6,7,2,6
LAB,LAB,0.31,3,10,7,0,0,5,5
NAT,NAT,0.77,10,1,3,5,8,4,6
NAT,NAT,0.35,9,5,5,6,9,5,7
Family,LAB,1.26,6,2,2,5,4,1,5
NAT,NAT,0.67,7,3,6,8,6,7,6
LAB,LAB,2.16,0,10,0,0,0,0,0
NAT,No Vote,0.35,10,8,0,0,9,9,0
NAT,DK,1.76,5,3,0,2,2,5,5
NAT,NAT,1,9,4,0,3,4,2,3
LAB,LAB,2.16,1,9,0,0,0,9,0
NAT,NAT,1.43,10,1,0,0,5,5,3
LAB,NZF,1.47,3,9,5,5,6,4,3
LAB,LAB,0.89,2,9,0,0,0,9,7
NAT,DK,2.81,8,5,3,7,7,1,7
NAT,NAT,0.38,8,1,0,0,4,4,4
NZF,NZF,0.48,7,7,7,2,0,7,0
LAB,LAB,1.47,2,9,8,5,5,5,7
NAT,NAT,0.67,10,0,0,5,5,0,0
GRN,GRN,1.8,0,0,0,6,6,6,2
LAB,Alliance,0.31,0,0,0,0,0,0,0
GRN,LAB,0.68,3,5,0,0,0,7,1
NAT,NAT,0.35,8,5,0,0,0,0,0
NAT,LAB,1.43,10,7,0,0,0,3,0
LAB,LAB,0.29,1,8,1,2,3,5,7
LAB,LAB,0.69,5,5,1,0,0,8,0
NAT,NAT,0.35,7,4,2,4,5,2,5
NAT,GRN,0.29,7,4,6,3,5,5,1
NAT,ACT,0.35,9,1,2,7,10,0,1
LAB,LAB,1.47,0,10,0,0,0,0,0
NAT,NAT,1.48,10,4,0,6,7,0,5
LAB,LAB,2.16,8,10,7,0,0,0,0
PRO,LAB,1.19,3,7,1,0,1,7,5
NAT,NAT,0.67,10,6,4,4,4,2,1
LAB,LAB,1.28,5,9,3,2,2,9,5
GRN,LAB,0.19,3,7,1,2,1,8,2
NAT,NAT,0.34,7,5,5,4,6,3,5
NAT,NAT,0.35,6,5,0,0,3,0,0
LAB,LAB,0.6,3,10,0,0,0,10,7
LAB,LAB,0.31,0,10,0,0,0,0,0
LAB,LAB,1.36,5,8,0,0,0,8,0
LAB,LAB,0.29,4,10,6,2,1,8,7
NAT,LAB,0.7,3,3,0,0,1,1,0
LAB,LAB,0.34,1,9,0,0,0,8,5
LAB,LAB,0.79,5,10,5,5,9,0,5
NAT,NAT,0.34,7,4,2,4,7,0,2
NAT,NAT,0.32,7,3,0,0,6,2,0
GRN,DK,1.62,5,5,5,0,0,5,0
LAB,LAB,1.84,0,10,3,3,3,4,5
NZF,LAB,0.55,6,1,6,5,0,0,5
LAB,LAB,0.69,3,9,6,0,0,1,6
GRN,GRN,0.35,3,7,2,2,2,8,6
NAT,DK,0.67,5,0,0,0,0,3,0
GRN,LAB,0.19,3,8,5,5,0,8,6
LAB,LAB,0.79,2,10,3,0,3,8,4
LAB,LAB,0.3,2,10,0,0,0,7,5
NAT,LAB,0.88,10,5,0,0,4,8,5
NAT,LAB,1.76,7,6,3,3,3,7,6
ACT,NAT,0.36,10,2,0,5,10,2,2
NAT,ACT,1.48,9,4,1,1,2,9,2
PRO,No Vote,1.15,6,7,3,8,1,5,6
NAT,LAB,0.88,6,6,4,4,3,9,3
LAB,LAB,0.31,3,10,4,0,0,9,6
NAT,LAB,1.76,6,5,0,1,1,5,5
GRN,GRN,1.67,2,10,5,5,5,10,6
LAB,GRN,1.84,3,8,1,2,0,8,5
NAT,NAT,0.67,8,3,3,0,0,0,0
NAT,LAB,1.52,9,7,0,0,0,7,0
LAB,LAB,0.6,7,10,2,0,0,0,0
GRN,LAB,0.96,6,8,2,2,2,7,5
LAB,LAB,0.15,5,9,0,1,5,8,8
GRN,LAB,1.93,3,7,0,0,0,9,0
LAB,LAB,0.79,3,8,3,0,0,5,4
GRN,GRN,0.32,2,9,1,3,3,10,7
GRN,GRN,0.96,2,9,2,2,0,9,0
GRN,GRN,0.35,2,8,0,0,0,10,0
LAB,LAB,2.92,4,9,6,3,3,8,7
LAB,LAB,0.34,3,8,1,1,1,2,2
NAT,LAB,0.35,10,5,0,0,0,10,0
LAB,LAB,0.29,6,8,0,0,0,6,6
LAB,LAB,0.29,7,8,2,1,5,10,5
LAB,LAB,0.6,0,10,0,0,0,9,0
NAT,GRN,1.43,7,7,1,2,5,6,2
LAB,LAB,1.57,2,8,5,5,1,6,5
LAB,LAB,2.92,8,10,7,6,6,10,6
NAT,No Vote,0.34,5,5,0,5,0,5,0
NAT,ACT,0.88,6,3,1,1,6,3,0
GRN,LAB,1.39,6,7,0,1,1,8,4
NAT,NAT,3.27,9,8,3,1,4,4,2
LAB,LAB,0.79,8,10,2,0,0,7,5
NAT,NAT,0.88,9,3,3,3,6,0,2
LAB,No Vote,0.79,5,5,0,0,0,0,0
NAT,LAB,0.35,8,8,0,4,4,5,0
NAT,NAT,1.43,8,7,3,4,4,7,3
LAB,LAB,0.3,0,10,6,0,0,10,6
NAT,DK,0.67,5,5,5,5,5,5,5
NAT,LAB,0.77,8,7,0,5,5,4,5
LAB,LAB,0.79,0,10,0,0,5,3,0
LAB,LAB,0.6,0,10,2,4,3,3,0
NAT,NAT,1.48,8,3,1,6,3,6,7
NAT,NAT,0.77,10,4,0,4,5,1,5
LAB,DK,0.6,0,10,10,0,0,0,0
NAT,NAT,1.48,9,4,0,2,5,5,0
NAT,DK,1.52,5,3,0,5,5,2,5
NAT,NAT,2.81,6,4,4,5,5,5,0
NAT,NAT,1.52,10,4,4,3,6,6,5
GRN,GRN,0.37,2,9,1,1,0,10,10
UF,No Vote,0.46,7,5,5,7,7,5,5
NAT,LAB,0.88,5,8,0,0,2,5,0
LAB,LAB,2.16,8,8,0,0,8,0,0
ACT,ACT,1.53,7,3,5,0,8,8,8
PRO,LAB,1.95,2,7,4,0,0,2,2
LAB,LAB,0.3,2,10,0,0,0,6,2
LAB,LAB,0.31,0,10,0,0,0,0,0
LAB,LAB,0.98,0,10,0,0,0,0,0
LAB,LAB,0.98,5,9,4,0,0,6,3
LAB,LAB,2.16,0,10,0,0,0,0,0
NAT,ACT,0.62,7,5,5,5,5,5,2
LAB,LAB,0.69,4,6,1,3,2,1,5
LAB,LAB,0.6,0,10,5,0,2,5,5
LAB,LAB,0.3,8,5,0,0,2,5,1
LAB,LAB,0.98,0,10,5,0,0,0,0
LAB,LAB,0.3,5,9,1,1,1,8,7
ACT,ACT,0.45,9,4,4,6,10,0,8
LAB,LAB,1.47,0,8,0,0,0,0,0
ACT,NAT,0.27,7,3,1,6,6,6,6
NAT,NAT,0.86,8,0,5,6,8,0,0
NAT,LAB,0.33,7,3,2,2,2,2,2
LAB,LAB,0.3,1,6,3,0,0,3,0
NAT,NAT,0.33,9,9,5,5,2,2,0
NAT,NAT,0.33,10,2,6,5,10,2,7
NZF,NZF,0.24,6,6,9,0,0,0,8
NAT,NAT,0.33,10,0,0,0,5,0,5
NAT,DK,0.35,8,0,5,1,7,0,0
LAB,LAB,0.3,4,9,4,4,2,5,4
NAT,LAB,0.33,4,4,4,4,4,4,4
NAT,LAB,1.64,7,0,0,0,0,0,0
PRO,NZF,1.32,4,1,5,0,5,5,7
NAT,DK,0.67,5,5,5,5,5,5,5
LAB,LAB,1.05,6,8,6,0,5,0,0
NAT,NAT,0.67,10,2,0,2,5,3,3
LAB,LAB,0.69,4,6,0,3,3,6,6
NAT,LAB,0.67,7,7,2,2,0,5,0
LAB,LAB,0.77,0,10,3,0,0,10,9
NAT,NAT,1.8,9,2,0,0,10,2,0
NAT,NAT,0.86,7,2,4,3,4,0,5
NAT,NAT,0.86,10,0,0,0,0,0,0
NAT,NAT,3.57,10,0,0,0,7,0,3
LAB,LAB,0.98,0,10,0,0,0,10,0
NAT,NAT,0.86,8,6,5,6,6,7,7
NAT,LAB,2.91,6,6,2,0,0,3,0
NAT,NAT,0.42,8,3,2,5,4,6,5
LAB,LAB,1.47,0,10,0,0,0,0,0
LAB,LAB,0.55,4,7,7,4,2,6,5
NAT,NAT,2.42,9,1,1,1,2,1,1
