CURRENT,PREVIOUS,WEIGHT,NAT,LAB,NZF,UF,ACT,GRN,MAO
NAT,NAT,0.35,8,3,3,5,8,0,3
LAB,LAB,0.31,1,10,10,2,0,2,1
NAT,LAB,1.64,5,3,1,0,1,1,1
NAT,UF,0.32,7,0,2,8,10,0,0
NAT,NAT,0.33,10,0,0,0,5,2,0
NAT,NAT,1.8,9,0,7,7,6,1,1
NAT,NAT,1,10,0,2,8,5,0,5
NAT,NAT,0.33,0,0,0,0,0,1,0
NAT,,0.33,9,2,0,3,7,0,0
LAB,LAB,0.98,0,8,0,0,0,0,0
GRN,UF,0.36,3,8,2,5,0,9,5
NAT,NAT,1.1,8,2,2,2,2,0,4
LAB,LAB,0.31,4,7,2,2,2,7,3
LAB,LAB,0.77,2,4,2,2,2,3,3
MAO,NZF,1.07,0,0,10,0,0,0,10
MAO,LAB,5.33,0,0,0,0,0,0,10
MAO,LAB,0.23,8,8,0,2,2,3,9
LAB,,0.3,0,10,6,0,0,9,8
LAB,LAB,0.31,5,10,7,0,0,8,5
GRN,LAB,1.28,0,5,5,0,0,10,0
MAO,GRN,0.91,5,5,0,0,0,10,10
LAB,LAB,0.34,5,8,2,0,2,2,0
MAO,LAB,2.67,1,7,5,0,4,5,7
MAO,MAO,0.47,0,0,0,0,0,0,10
NZF,NZF,0.62,5,5,6,0,0,0,6
LAB,LAB,3.19,3,10,0,0,0,0,7
NZF,NZF,1.74,0,0,10,0,0,0,10
LAB,LAB,4.48,5,10,8,5,5,7,10
NZF,NZF,0.25,4,9,10,2,2,4,5
LAB,LAB,1.36,2,6,4,0,0,6,0
MAO,LAB,0.21,10,4,10,0,0,0,10
LAB,LAB,4.48,2,10,1,0,0,4,10
LAB,LAB,4,7,9,4,1,0,4,9
MAO,NZF,0.91,6,5,5,3,3,2,9
LAB,LAB,1.61,6,4,6,4,2,1,1
LAB,LAB,0.89,2,8,0,0,1,7,7
LAB,LAB,1.36,0,10,10,0,0,10,10
LAB,,,6,0,2,6,5,4,0
MAO,MAO,0.65,3,7,5,5,5,5,10
LAB,LAB,1.21,9,10,5,2,0,7,7
GRN,GRN,0.59,0,6,0,0,0,10,5
LAB,,0.98,5,5,5,5,5,5,5
MAO,NZF,0.2,8,6,8,0,6,3,10
MAO,LAB,0.25,5,10,5,0,0,5,10
LAB,No Vote,2.81,3,8,0,0,0,8,6
MAO,MAO,0.91,3,10,2,5,5,8,10
MAO,MAO,0.4,5,9,5,0,0,9,9
MAO,No Vote,5.28,4,4,3,5,5,8,8
LAB,LAB,0.48,5,5,6,2,5,2,5
LAB,LAB,2.92,0,10,4,0,0,9,1
MAO,MAO,0.21,8,9,7,2,4,9,10
NAT,LAB,1.62,9,5,7,7,7,8,8
MAO,LAB,0.51,0,10,8,0,0,9,9
MAO,MAO,1.62,3,3,5,7,7,9,9
LAB,LAB,3.19,4,8,5,0,0,4,5
LAB,LAB,0.29,6,6,3,2,3,6,6
No Vote,No Vote,1.62,3,7,4,3,3,4,5
NAT,No Vote,2.65,8,6,1,0,0,0,0
LAB,LAB,1.48,1,10,10,5,2,10,10
MAO,LAB,0.4,6,8,7,8,4,8,9
MAO,No Vote,0.21,5,5,10,0,0,0,10
MAO,LAB,1.56,5,7,3,8,3,4,10
LAB,LAB,0.77,1,7,7,0,0,6,7
LAB,NZF,0.49,5,6,8,0,1,1,10
LAB,LAB,1.84,5,8,6,5,5,10,10
LAB,NZF,0.49,2,7,7,0,0,6,6
NZF,NZF,1.3,7,8,8,3,4,5,3
MAO,LAB,0.23,5,5,1,0,1,7,10
LAB,LAB,1.21,0,3,3,0,0,10,10
LAB,LAB,0.37,7,8,6,0,2,6,6
NAT,LAB,2.81,6,5,4,3,2,7,7
NZF,NZF,0.25,8,2,9,1,1,1,5
MAO,LAB,0.4,4,4,5,4,3,4,5
MAO,LAB,2.67,5,5,5,0,2,5,7
LAB,LAB,1.61,3,7,1,0,1,6,6
LAB,LAB,0.6,2,10,5,0,0,10,10
GRN,GRN,0.42,5,8,8,2,2,10,8
NZF,LAB,0.79,0,10,10,0,0,5,10
LAB,LAB,1.36,2,10,0,3,3,5,5
MAO,NZF,0.2,1,6,10,0,0,2,10
LAB,LAB,0.77,3,9,6,5,0,7,7
LAB,LAB,0.79,2,8,0,0,0,8,0
GRN,DK,0.42,4,6,3,2,1,8,6
LAB,LAB,0.69,5,10,9,9,5,8,10
MAO,LAB,0.4,0,0,0,0,0,0,0
NAT,MAO,1.17,8,4,6,1,3,6,10
NZF,LAB,1.18,5,10,10,0,5,5,10
GRN,LAB,0.58,0,3,0,0,0,9,10
NAT,NAT,0.53,8,8,5,5,1,6,5
Kiwi,Destiny,1.62,0,3,10,0,0,5,8
LAB,LAB,1.66,2,8,0,0,0,8,6
MAO,No Vote,0.91,2,10,1,1,1,1,5
LAB,LAB,4,2,7,4,5,2,8,8
LAB,LAB,1.47,3,7,6,2,1,5,8
GRN,GRN,0.95,0,10,5,0,0,10,0
MAO,LAB,,3,10,5,0,0,5,5
LAB,LAB,1.36,5,10,5,5,4,9,6
LAB,LAB,1.21,0,10,0,0,0,0,0
MAO,MAO,0.19,6,6,4,2,4,6,9
MAO,LAB,0.2,1,2,2,0,0,2,10
LAB,LAB,3.22,0,10,0,2,4,7,10
MAO,NZF,0.65,8,6,8,5,0,2,8
No Vote,LAB,1.21,1,8,5,1,1,1,7
LAB,LAB,2.33,0,6,6,0,0,6,6
NAT,ACT,1,8,1,0,8,8,3,8
LAB,LAB,3.19,0,0,0,0,0,0,0
LAB,LAB,0.31,0,10,5,5,5,10,5
NAT,NAT,0.86,10,2,6,6,6,6,6
LAB,No Vote,1.32,4,6,1,0,0,4,0
NAT,NAT,0.67,8,2,1,4,6,0,3
NAT,DK,1.65,8,2,2,5,5,6,0
NZF,NZF,0.62,5,9,8,0,0,0,0
NAT,GRN,1.64,10,6,0,4,3,5,6
NAT,NAT,0.35,7,1,1,5,1,2,1
NAT,NAT,1.52,10,3,0,5,5,6,5
LAB,LAB,0.98,5,10,5,5,5,8,6
LAB,LAB,0.31,6,10,4,0,0,0,0
NAT,NAT,0.86,7,0,0,2,2,0,0
NAT,NAT,1.64,9,3,0,6,6,2,1
LAB,LAB,0.55,0,10,5,0,0,10,0
LAB,LAB,0.3,0,8,2,0,0,1,0
LAB,LAB,0.26,2,9,3,1,0,8,8
GRN,GRN,1.62,3,8,3,0,2,10,8
LAB,LAB,0.77,6,8,5,5,5,0,5
NAT,LAB,0.66,8,5,0,5,10,4,0
LAB,LAB,0.3,3,10,3,0,0,10,10
ACT,ACT,1.77,8,2,0,2,9,2,7
NAT,ACT,0.38,8,3,0,4,7,1,4
LAB,LAB,0.46,4,9,1,1,1,10,6
LAB,LAB,0.3,3,10,0,0,0,8,7
NAT,LAB,0.33,8,3,5,7,1,6,7
NAT,NAT,,8,3,1,2,2,5,4
LAB,No Vote,1.36,3,8,5,5,1,3,4
NAT,LAB,0.67,4,3,0,0,0,3,0
LAB,LAB,1.47,6,7,3,3,3,0,0
LAB,LAB,0.62,2,10,1,1,1,7,5
No Vote,LAB,3.33,0,8,0,5,0,5,5
NAT,GRN,0.88,8,2,0,3,2,3,6
LAB,LAB,0.59,3,8,0,0,6,1,5
GRN,LAB,0.73,3,10,0,4,0,8,6
LAB,LAB,0.31,7,9,5,1,0,7,1
NAT,NAT,0.77,9,3,3,3,9,5,5
NAT,NAT,0.67,10,2,2,5,5,2,5
NAT,NAT,0.35,10,0,1,7,5,6,0
NAT,NZF,0.67,6,3,6,0,3,3,3
No Vote,DK,3.05,0,0,0,0,0,0,0
No Vote,No Vote,5.33,7,5,2,5,6,6,2
NZF,NZF,1.18,5,5,10,2,2,7,5
LAB,LAB,0.98,1,7,10,0,0,5,0
LAB,LAB,1.47,1,10,4,4,4,4,4
LAB,LAB,0.55,5,4,0,9,1,6,5
UF,LAB,0.46,6,6,0,7,0,6,5
NAT,NAT,0.35,10,6,0,7,0,0,0
GRN,LAB,0.96,8,8,0,0,0,9,5
NAT,NAT,0.66,8,3,0,6,7,7,6
LAB,LAB,0.34,0,10,2,1,1,10,5
NAT,LAB,2.81,8,7,4,2,6,3,3
LAB,LAB,1.66,5,9,6,7,7,7,7
LAB,GRN,0.6,2,7,6,2,0,6,5
LAB,LAB,0.98,5,9,9,0,1,9,6
NAT,NAT,0.35,10,1,1,5,4,1,5
NAT,NAT,1.8,7,0,0,5,5,5,3
LAB,LAB,0.77,5,10,8,5,2,8,8
LAB,LAB,1.32,1,3,0,0,0,2,0
LAB,LAB,0.3,5,8,1,1,0,0,0
LAB,LAB,0.77,8,10,5,1,3,9,0
NAT,NAT,0.53,7,7,0,0,3,0,3
LAB,LAB,0.31,0,10,7,1,0,6,8
NAT,NAT,0.86,10,0,0,5,10,0,5
NAT,NAT,0.49,10,5,1,5,6,2,3
NAT,NAT,0.51,9,2,0,0,4,0,6
LAB,LAB,0.3,3,10,0,0,0,6,3
ACT,NAT,0.35,10,4,6,6,8,4,4
ACT,NAT,1.25,9,3,1,6,10,3,6
LAB,LAB,0.3,4,6,4,3,0,5,0
NAT,NAT,1.48,5,0,0,0,0,0,0
LAB,LAB,0.3,10,9,9,6,5,6,2
NAT,NAT,1.8,8,6,1,6,7,5,7
NAT,NAT,0.33,9,5,7,0,0,5,0
ACT,NAT,3.25,9,2,4,4,9,0,6
LAB,LAB,0.98,4,10,4,3,0,2,5
ACT,NAT,0.66,9,0,1,1,8,0,8
LAB,DK,1.36,5,8,2,2,2,8,3
NAT,NAT,0.42,10,1,3,0,4,4,4
NAT,LAB,3.57,7,4,3,2,3,1,1
NAT,NAT,1.1,10,0,5,8,6,2,8
LAB,LAB,1.36,5,7,5,5,5,7,5
LAB,LAB,0.31,5,10,6,0,0,6,0
NAT,LAB,0.66,8,6,3,7,7,6,8
NAT,LAB,0.77,6,5,0,1,3,4,0
NAT,NAT,0.33,10,5,0,5,6,0,5
LAB,LAB,1.47,2,10,9,0,10,6,5
LAB,LAB,0.3,5,10,8,0,0,0,0
GRN,GRN,0.99,0,5,5,4,0,7,1
LAB,LAB,1.32,4,6,0,0,0,7,0
NZF,NZF,0.79,7,1,10,7,1,1,1
NZF,NZF,0.63,3,7,10,1,0,4,5
GRN,LAB,0.28,6,5,0,2,1,9,9
LAB,LAB,0.6,6,10,7,2,0,9,5
NAT,NAT,1.65,9,2,0,5,8,1,4
NAT,LAB,2.91,5,7,0,0,0,0,0
NZF,NZF,0.63,6,8,10,0,5,0,0
ACT,ACT,0.82,5,6,3,3,7,5,0
LAB,LAB,3.22,5,9,1,1,7,5,2
LAB,LAB,0.3,3,4,0,0,0,4,0
LAB,LAB,0.77,5,5,1,5,5,6,6
LAB,NAT,0.6,5,10,0,0,0,0,0
NZF,NAT,3.22,6,2,3,0,0,0,0
LAB,LAB,0.3,0,10,7,1,0,5,1
NAT,LAB,0.86,6,6,0,6,0,2,3
LAB,LAB,0.31,10,10,10,9,9,3,2
NAT,NAT,1.65,8,5,0,5,5,3,7
NZF,LAB,0.24,5,8,8,0,0,8,3
LAB,LAB,0.3,2,9,4,2,2,7,6
NAT,LAB,0.38,7,5,2,4,5,4,5
NAT,ACT,0.86,10,0,0,5,10,0,5
LAB,LAB,1.47,2,10,5,0,0,0,0
LAB,LAB,0.31,4,10,8,1,1,2,2
LAB,LAB,0.31,1,10,1,1,1,7,5
NAT,NAT,0.35,10,2,2,2,3,0,7
LAB,LAB,0.3,0,0,0,0,0,0,0
LAB,LAB,2.16,3,7,0,0,0,6,7
NZF,GRN,0.76,7,7,10,7,2,10,0
NAT,NAT,0.35,8,2,1,6,5,5,5
NAT,NAT,0.33,3,0,0,0,0,0,0
LAB,LAB,5.32,5,7,3,3,3,5,4
LAB,LAB,0.98,0,10,0,0,0,0,0
No Vote,NAT,1.21,4,4,0,0,0,0,0
LAB,DK,1.57,0,5,2,2,2,4,2
MAO,GRN,0.88,0,2,5,5,0,9,10
NAT,NAT,0.35,10,3,0,5,5,2,2
NAT,UF,0.62,9,5,5,5,4,4,6
LAB,LAB,0.48,0,8,3,0,0,10,8
NAT,LAB,0.67,8,3,4,0,0,0,0
NAT,NAT,1.52,9,1,0,5,7,3,5
NAT,NZF,0.26,8,2,4,5,5,0,5
LAB,GRN,0.77,4,8,0,3,2,8,5
NAT,LAB,1.17,7,6,0,0,0,0,5
LAB,LAB,0.31,3,8,0,0,0,0,0
NAT,NAT,0.35,10,0,0,1,7,2,0
NAT,NAT,0.62,7,3,0,5,6,0,5
LAB,LAB,0.46,4,7,7,0,4,7,6
NAT,NAT,0.86,9,1,1,1,7,2,5
LAB,LAB,0.23,3,8,3,8,1,6,5
LAB,LAB,1.32,5,8,1,1,0,5,1
LAB,LAB,0.6,1,10,5,0,0,5,0
GRN,LAB,0.72,3,7,2,5,2,7,5
LAB,LAB,0.29,3,10,7,0,5,7,7
NAT,LAB,0.66,6,7,1,1,4,4,4
NAT,NAT,1.52,10,7,1,0,0,1,0
NAT,NAT,0.35,10,5,2,5,3,5,6
LAB,LAB,1.61,5,5,0,0,5,9,5
LAB,LAB,0.55,5,8,5,4,4,5,5
NZF,LAB,1.3,6,9,7,0,0,7,5
NZF,NZF,0.25,6,8,8,3,3,1,1
LAB,DK,0.79,8,5,0,1,2,3,0
ACT,NAT,0.93,7,3,0,2,7,0,1
NAT,LAB,0.26,7,7,5,5,0,5,6
LAB,LAB,2.16,0,0,0,0,0,0,0
LAB,LAB,1.47,3,9,5,1,0,3,0
LAB,LAB,0.98,3,6,3,3,2,3,3
GRN,LAB,0.73,3,8,2,2,2,7,6
ACT,NZF,3.13,5,1,2,0,0,0,0
NZF,NZF,0.62,4,6,6,4,0,4,3
NAT,NAT,1.86,5,6,2,2,6,2,2
NAT,LAB,0.88,8,7,0,0,0,0,0
NAT,NAT,1.48,9,3,0,1,1,4,2
NAT,NAT,0.38,9,4,0,4,5,0,5
NZF,NZF,0.24,6,3,8,5,8,5,2
LAB,LAB,0.48,3,7,4,2,0,7,5
NAT,DK,0.34,6,3,2,0,2,4,6
NAT,NAT,1.56,5,5,5,5,5,0,5
UF,UF,1.32,3,2,1,10,1,1,2
NAT,NAT,0.35,10,5,0,5,5,4,7
PRO,LAB,0.88,6,8,3,1,3,5,0
NAT,NAT,2.42,0,0,0,0,0,0,0
NAT,NAT,1.76,9,2,1,6,7,7,2
NAT,NAT,0.86,9,4,4,4,4,6,4
NAT,DK,0.77,8,1,3,5,6,6,6
LAB,LAB,0.31,8,8,6,7,7,7,0
NAT,NAT,0.86,8,3,8,5,2,2,2
GRN,LAB,0.36,3,7,6,2,1,9,6
NAT,NAT,0.88,8,6,4,5,5,4,4
NAT,LAB,0.32,6,4,7,3,3,8,0
NAT,NAT,0.86,8,4,0,4,6,6,1
GRN,LAB,1.39,5,7,1,1,1,7,5
NAT,NAT,0.86,8,0,0,3,7,0,5
LAB,LAB,0.31,5,7,0,0,0,0,0
GRN,LAB,0.68,2,9,0,0,0,10,5
NZF,LAB,0.3,3,9,8,4,0,9,5
LAB,NAT,0.69,9,1,0,5,0,5,1
NAT,NAT,0.53,9,3,5,7,6,0,7
NAT,DK,0.86,7,3,0,4,7,0,2
NAT,NAT,1.52,8,5,0,1,2,0,0
NAT,NAT,0.26,8,2,2,6,6,1,4
LAB,LAB,0.98,5,2,0,0,0,0,0
NAT,UF,0.35,8,2,1,5,6,1,0
NAT,NAT,0.86,7,4,2,4,5,2,3
NAT,NAT,0.77,9,5,5,6,5,2,7
NAT,NAT,0.67,10,0,5,5,8,5,0
LAB,LAB,0.3,5,10,5,0,5,8,4
NZF,UF,0.48,7,2,4,2,2,1,4
LAB,LAB,0.55,7,9,1,0,0,2,0
NAT,GRN,1.17,7,3,0,5,6,7,3
LAB,LAB,0.89,2,7,1,3,3,10,7
LAB,LAB,0.31,2,9,1,4,0,2,9
NAT,NAT,1.1,10,6,8,5,6,4,5
NAT,LAB,1.52,9,8,9,5,5,5,5
NAT,NAT,0.86,8,7,0,3,3,0,7
NAT,NAT,0.35,6,3,3,9,0,5,5
NAT,UF,1,9,9,0,6,0,8,8
LAB,LAB,0.31,8,9,5,5,1,7,5
LAB,LAB,1.47,5,8,8,5,0,5,5
LAB,LAB,0.98,1,10,5,5,5,5,5
No Vote,NAT,0.54,10,0,0,2,2,0,0
NAT,LAB,0.86,5,3,5,3,3,2,5
NAT,NAT,1.64,9,1,0,3,3,2,5
LAB,LAB,2.61,5,8,7,5,7,5,5
NAT,ACT,0.33,10,2,1,5,8,1,5
NZF,NZF,0.25,6,4,0,0,0,0,0
NAT,NAT,0.77,8,5,0,5,6,4,1
ACT,LAB,0.35,6,8,5,2,6,5,5
LAB,LAB,0.79,0,8,4,2,0,10,5
LAB,LAB,0.34,5,10,5,5,5,5,5
NAT,NAT,2.81,10,3,6,0,0,0,10
NAT,NAT,0.67,7,1,6,2,1,3,1
LAB,LAB,0.31,2,10,5,5,2,8,7
LAB,DK,1.36,5,5,5,0,0,0,0
LAB,LAB,0.34,8,9,0,0,0,7,0
NAT,NZF,0.86,9,6,5,5,7,5,5
ACT,LAB,1.25,5,6,3,3,8,6,2
GRN,GRN,1.28,5,7,2,1,0,8,7
NAT,LAB,1,7,8,5,3,1,6,7
NAT,NAT,0.86,8,2,0,5,7,5,6
LAB,LAB,1.28,2,10,0,1,1,6,0
NAT,NAT,0.51,8,1,0,0,0,0,2
NAT,NAT,0.67,6,4,0,0,0,0,0
NAT,NAT,2.42,8,0,0,0,0,0,0
NAT,NAT,0.53,7,3,1,1,2,2,1
GRN,GRN,0.73,2,8,3,1,0,10,0
NAT,LAB,0.88,9,7,0,5,7,8,6
PRO,LAB,0.5,8,5,4,3,2,1,7
LAB,DK,0.6,6,9,6,4,4,9,7
NAT,NAT,0.86,9,3,5,7,8,1,6
NAT,NAT,0.38,10,0,0,6,7,2,8
NAT,NAT,0.53,10,0,0,0,4,0,7
NAT,NAT,1.39,9,0,3,8,8,5,0
NAT,LAB,0.35,8,6,3,5,5,5,4
NAT,NAT,0.77,0,0,0,0,0,0,0
MAO,MAO,0.37,4,7,0,3,0,7,7
LAB,LAB,0.3,5,10,5,5,0,0,0
NAT,NAT,0.53,5,5,5,5,5,5,5
LAB,GRN,0.31,5,9,5,5,2,9,8
NAT,NAT,0.86,10,2,0,0,4,0,0
LAB,LAB,1.47,5,10,5,8,0,6,5
GRN,MAO,0.35,3,7,1,1,1,9,9
ACT,ACT,0.57,5,4,3,2,8,7,6
LAB,NAT,0.69,7,6,5,5,5,5,5
LAB,LAB,0.3,0,7,0,0,0,0,0
LAB,LAB,0.98,8,8,8,0,0,8,8
LAB,DK,3.33,7,9,0,0,0,6,0
LAB,LAB,0.6,6,6,0,0,0,0,0
ACT,DK,1.39,7,5,0,4,6,4,2
NAT,No Vote,3.27,5,3,1,1,1,1,2
LAB,LAB,0.48,2,8,1,0,0,5,2
Family,Other,1.62,6,2,5,5,0,0,6
NAT,NAT,0.53,6,7,2,7,4,2,5
LAB,LAB,0.31,5,10,5,1,0,10,0
PRO,LAB,0.7,7,7,3,0,6,6,5
LAB,LAB,0.89,2,10,0,4,0,9,9
LAB,LAB,0.15,2,10,2,5,0,10,8
NAT,NAT,0.26,9,2,0,5,8,5,0
NAT,GRN,0.38,7,5,3,3,4,6,5
NAT,NAT,0.62,9,3,1,3,3,4,3
NAT,NAT,0.34,8,0,0,5,5,0,5
LAB,LAB,0.46,1,10,1,0,0,5,6
GRN,GRN,0.18,5,6,0,5,4,8,6
NAT,NAT,0.88,8,4,3,4,6,5,5
LAB,LAB,0.55,4,9,6,5,0,8,6
NAT,NAT,0.35,10,0,0,0,0,0,0
NAT,DK,3.6,9,7,0,8,0,0,0
LAB,LAB,0.55,5,9,0,0,7,7,0
NAT,NAT,0.88,10,0,0,5,7,5,5
GRN,GRN,0.42,1,10,0,0,0,10,2
LAB,LAB,0.31,5,10,6,4,0,7,4
LAB,LAB,0.6,0,10,0,0,0,0,0
NAT,NAT,0.34,8,4,0,1,5,2,0
NAT,NAT,0.33,8,4,1,1,4,6,4
LAB,LAB,0.3,2,8,5,0,0,7,0
NAT,NAT,0.88,7,5,3,4,3,2,2
NAT,NAT,0.86,9,0,0,5,5,1,5
NAT,ACT,0.33,10,1,1,5,8,1,1
NZF,NZF,0.25,0,5,10,5,0,0,0
NAT,NAT,0.53,7,3,0,3,3,0,2
NAT,NAT,0.29,5,5,3,5,3,3,0
NAT,NAT,0.86,7,3,1,3,1,3,1
NAT,LAB,0.51,7,4,0,2,5,0,4
NAT,NZF,1.1,9,0,3,8,4,0,5
NAT,NAT,0.88,9,6,2,5,5,7,5
LAB,LAB,0.3,2,10,0,0,0,10,3
NAT,NAT,1.52,10,4,0,6,4,5,0
NAT,NAT,0.77,8,0,5,7,8,2,2
LAB,LAB,0.3,3,9,0,0,0,5,3
NAT,UF,0.17,10,0,3,9,7,7,0
LAB,LAB,0.31,5,8,2,2,3,4,2
No Vote,LAB,1.21,4,3,2,2,2,5,5
NAT,NAT,0.34,8,4,0,5,5,1,4
LAB,LAB,0.48,5,10,5,0,5,8,5
NAT,NAT,0.35,6,4,1,0,2,1,2
NAT,LAB,0.35,8,7,7,0,5,5,7
LAB,LAB,0.31,5,10,5,5,5,5,0
LAB,LAB,0.6,1,10,4,4,4,8,8
NAT,NAT,0.33,10,5,5,5,8,0,5
NAT,UF,0.67,8,8,2,8,7,7,8
LAB,LAB,2.61,5,10,3,0,0,6,5
LAB,LAB,0.3,0,10,0,0,0,0,0
ACT,ACT,0.35,8,5,2,0,6,2,4
NAT,LAB,0.33,7,7,3,4,1,5,4
GRN,LAB,0.38,7,7,6,6,1,10,9
NZF,NAT,0.38,7,6,6,6,2,2,2
NAT,NAT,1.8,9,2,5,5,6,1,5
LAB,LAB,0.77,5,10,0,5,1,10,0
LAB,LAB,0.48,5,8,0,0,2,7,5
LAB,LAB,0.29,3,7,2,2,2,7,7
ACT,NAT,0.35,8,4,0,2,7,4,6
NAT,NAT,0.53,8,2,0,4,5,5,0
NAT,LAB,0.77,9,2,2,9,8,6,6
NZF,NZF,0.24,10,3,5,0,2,2,7
LAB,LAB,0.77,4,7,0,4,4,7,7
NAT,NAT,0.53,7,5,2,0,2,0,3
LAB,LAB,0.3,8,9,2,0,0,1,0
ACT,NAT,3.12,10,1,3,5,9,4,5
NAT,ACT,0.26,2,0,0,3,6,0,0
NAT,NAT,0.66,8,5,3,2,4,4,4
NAT,NZF,3.33,8,4,6,4,5,3,1
LAB,LAB,0.31,3,9,3,1,2,7,2
NAT,NAT,0.33,9,6,4,5,4,4,4
NAT,NZF,0.35,8,3,5,5,4,6,6
NAT,NAT,0.33,7,1,0,0,0,3,5
NAT,ACT,2.65,9,3,6,7,9,2,3
LAB,DK,0.79,5,5,0,0,0,0,0
LAB,LAB,0.23,5,8,0,0,0,8,5
NAT,NAT,0.84,10,0,0,5,5,7,7
NAT,NAT,0.77,9,2,0,10,10,7,5
LAB,LAB,1.48,7,9,4,2,3,1,5
NAT,UF,1.43,7,3,0,6,5,0,6
NAT,NAT,2.33,10,0,0,0,0,0,0
ACT,DK,1.63,10,4,2,4,10,4,2
No Vote,No Vote,5.32,6,6,4,7,6,8,1
NAT,NAT,0.33,9,4,2,1,7,1,0
GRN,GRN,0.68,9,7,0,8,7,8,7
NAT,NAT,0.86,8,0,2,1,1,0,1
NAT,NAT,0.86,8,0,0,6,9,0,2
LAB,,0.3,5,7,10,0,9,5,0
LAB,LAB,1.48,0,7,5,5,0,7,5
NAT,LAB,0.32,7,6,0,0,0,5,5
LAB,LAB,0.48,7,5,6,0,0,0,5
NAT,DK,0.35,5,3,3,4,4,3,3
LAB,LAB,0.48,8,10,5,0,0,0,0
NAT,ACT,0.42,8,0,0,0,9,0,7
NAT,LAB,1.8,7,5,1,3,4,2,1
LAB,LAB,0.31,2,7,4,0,0,0,0
NAT,NAT,0.67,8,2,0,4,7,0,2
LAB,NAT,0.81,6,5,2,0,5,8,5
NAT,DK,0.33,0,0,0,0,0,0,0
NAT,ACT,2.91,7,2,0,3,3,0,3
NAT,NAT,0.77,7,1,1,5,5,1,1
LAB,LAB,0.31,5,10,0,0,2,8,8
LAB,LAB,2.92,4,9,6,3,0,5,7
NAT,NAT,1.1,9,7,0,5,6,1,5
LAB,LAB,0.6,1,9,1,1,1,9,7
UF,UF,0.62,4,7,0,10,2,8,6
NZF,DK,0.62,5,5,5,5,4,1,5
NAT,NAT,0.33,7,5,1,0,0,3,2
LAB,LAB,0.77,5,8,3,2,1,5,4
NAT,NAT,0.33,10,2,0,1,2,1,3
LAB,LAB,0.3,0,9,0,0,5,7,0
NAT,NAT,1.64,10,6,1,7,7,7,5
LAB,DK,0.48,5,5,8,0,0,2,2
UF,,1.32,7,4,7,7,3,3,5
NAT,UF,0.33,8,0,0,6,4,2,7
LAB,LAB,0.55,5,10,3,0,0,8,0
NAT,NAT,0.86,6,5,5,5,5,1,5
LAB,LAB,0.23,4,7,1,2,1,8,4
LAB,LAB,1.47,2,9,0,1,0,9,1
NAT,LAB,0.35,7,8,8,0,0,6,6
UF,UF,0.21,5,5,0,7,5,6,7
NAT,NAT,0.86,8,3,5,2,7,3,3
NAT,NAT,0.86,5,4,2,4,5,2,2
NAT,NZF,1.8,10,3,0,5,7,5,0
LAB,LAB,0.6,2,10,4,0,0,4,0
LAB,LAB,1.47,6,10,10,0,0,4,0
NZF,LAB,0.25,1,9,9,0,0,5,0
GRN,GRN,0.38,5,5,5,0,0,8,5
NAT,NAT,0.86,9,3,1,5,7,1,3
UF,LAB,0.4,6,7,4,4,4,1,2
NAT,NAT,0.35,10,3,3,4,4,0,0
NAT,NAT,0.77,10,1,0,3,9,1,0
NAT,DK,0.35,10,3,5,5,3,2,10
NAT,LAB,1.1,10,7,3,8,0,1,0
NAT,NAT,0.35,9,4,4,3,3,4,2
NAT,NAT,0.67,10,0,0,7,7,5,2
